No,distance,VrOriSSM,speed,modeSSMOri,modeCollab,x,y,z
1,1550.18,0,0,2,3,456.42,-39.88,297.88
2,1550.18,0,0,3,4,455.62,-65.18,301.54
3,1550.18,0,0,3,4,454.82,-92.64,305.18
4,1237.62,0,250,2,3,454.79,-93.81,305.3
5,1252.89,0,250,2,3,453.69,-130.93,310.35
6,1252.89,0,250,2,3,452.59,-166.33,315.37
7,1260.24,0,250,2,3,451.78,-193.43,319.07
8,1194.54,0,250,2,3,450.94,-221.42,322.91
9,1252.89,0,250,2,3,450.14,-248.96,326.54
10,1252.89,0,250,2,3,449.33,-274.23,330.2
11,1405.69,0,250,2,3,449.31,-275.43,330.31
12,1550.18,0,250,2,3,448.52,-301.09,333.93
13,1362.46,0,250,2,3,447.74,-327.03,337.5
14,1498.57,0,250,2,3,446.95,-354.89,341.09
15,1551.1,500,500,2,2,446.16,-380.39,344.73
16,1498.57,750,750,1,1,445.91,-388.42,329.87
17,1606.5,750,750,1,1,445.91,-388.42,305.98
18,1605.48,750,750,1,1,445.91,-388.42,282.06
19,1602.42,500,500,2,2,445.91,-388.42,257.94
20,1550.18,750,750,1,1,445.91,-388.42,233.7
21,1602.42,0,250,2,3,445.91,-388.43,209.94
22,1606.5,0,250,2,3,445.91,-388.43,175.33
23,1550.18,500,500,2,2,445.9,-388.43,143.61
24,1605.48,500,500,2,2,445.9,-388.43,119.65
25,1606.5,500,500,2,2,445.9,-388.43,95.58
26,1605.48,500,500,2,2,445.9,-388.43,70.8
27,1602.42,0,250,2,3,445.9,-388.43,45.81
28,1536.56,0,250,2,3,445.91,-388.43,13.26
29,1597.36,0,250,2,3,445.9,-388.43,-22.57
30,1597.36,0,250,2,3,445.91,-388.43,-55.78
31,1542.87,0,250,2,3,445.91,-388.42,-89.47
32,1547.43,0,250,2,3,445.91,-388.42,-124.48
33,1547.43,0,250,2,3,445.92,-388.42,-155.28
34,1547.43,0,250,2,3,445.91,-388.42,-171.88
35,943.49,0,0,3,4,445.91,-388.42,-171.03
36,893.23,0,0,3,4,445.91,-388.42,-180.83
37,861.07,0,0,3,4,445.91,-388.42,-180.83
38,861.07,0,0,3,4,445.91,-388.42,-180.83
39,861.07,0,0,3,4,445.91,-388.42,-180.83
40,879.3,0,0,3,4,445.91,-388.42,-180.83
41,879.3,0,0,3,4,445.91,-388.42,-180.83
42,879.3,0,0,3,4,445.91,-388.42,-180.83
43,879.3,0,0,3,4,445.91,-388.42,-180.83
44,879.3,0,0,3,4,445.91,-388.42,-180.83
45,879.3,0,0,3,4,445.91,-388.42,-180.83
46,879.3,0,0,3,4,445.91,-388.42,-180.83
47,879.3,0,0,3,4,445.91,-388.42,-180.83
48,879.3,0,0,3,4,445.91,-388.42,-180.83
49,879.3,0,0,3,4,445.91,-388.42,-180.83
50,879.3,0,0,3,4,445.91,-388.42,-180.83
51,879.3,0,0,3,4,445.91,-388.42,-180.83
52,879.3,0,0,3,4,445.91,-388.42,-180.83
53,879.3,0,0,3,4,445.91,-388.42,-180.83
54,879.3,0,0,3,4,445.91,-388.42,-180.83
55,879.3,0,0,3,4,445.91,-388.42,-180.83
56,879.3,0,0,3,4,445.91,-388.42,-180.83
57,879.3,0,0,3,4,445.91,-388.42,-180.83
58,879.3,0,0,3,4,445.91,-388.42,-180.83
59,879.3,0,0,3,4,445.91,-388.42,-180.83
60,879.3,0,0,3,4,445.91,-388.42,-180.83
61,879.3,0,0,3,4,445.91,-388.42,-180.83
62,879.3,0,0,3,4,445.91,-388.42,-180.83
63,879.3,0,0,3,4,445.91,-388.42,-180.83
64,879.3,0,0,3,4,445.91,-388.42,-180.83
65,879.3,0,0,3,4,445.91,-388.42,-180.83
66,879.3,0,0,3,4,445.91,-388.42,-180.83
67,879.3,0,0,3,4,445.91,-388.42,-180.83
68,879.3,0,0,3,4,445.91,-388.42,-180.83
69,879.3,0,0,3,4,445.91,-388.42,-180.83
70,879.3,0,0,3,4,445.91,-388.42,-180.83
71,879.3,0,0,3,4,445.91,-388.42,-180.83
72,879.3,0,0,3,4,445.91,-388.42,-180.83
73,879.3,0,0,3,4,445.91,-388.42,-180.83
74,879.3,0,0,3,4,445.91,-388.42,-180.83
75,879.3,0,0,3,4,445.91,-388.42,-180.83
76,879.3,0,0,3,4,445.91,-388.42,-180.83
77,879.3,0,0,3,4,445.91,-388.42,-180.83
78,879.3,0,0,3,4,445.91,-388.42,-180.83
79,879.3,0,0,3,4,445.91,-388.42,-180.83
80,879.3,0,0,3,4,445.91,-388.42,-180.83
81,879.3,0,0,3,4,445.91,-388.42,-180.83
82,879.3,0,0,3,4,445.91,-388.42,-180.83
83,879.3,0,0,3,4,445.91,-388.42,-180.83
84,879.3,0,0,3,4,445.91,-388.42,-180.83
85,879.3,0,0,3,4,445.91,-388.42,-180.83
86,879.3,0,0,3,4,445.91,-388.42,-180.83
87,879.3,0,0,3,4,445.91,-388.42,-180.83
88,879.3,0,0,3,4,445.91,-388.42,-180.83
89,879.3,0,0,3,4,445.91,-388.42,-180.83
90,879.3,0,0,3,4,445.91,-388.42,-180.83
91,879.3,0,0,3,4,445.91,-388.42,-180.83
92,879.3,0,0,3,4,445.91,-388.42,-180.83
93,879.3,0,0,3,4,445.91,-388.42,-180.83
94,879.3,0,0,3,4,445.91,-388.42,-180.83
95,879.3,0,0,3,4,445.91,-388.42,-180.83
96,879.3,0,0,3,4,445.91,-388.42,-180.83
97,879.3,0,0,3,4,445.91,-388.42,-180.83
98,879.3,0,0,3,4,445.91,-388.42,-180.83
99,879.3,0,0,3,4,445.91,-388.42,-180.83
100,879.3,0,0,3,4,445.91,-388.42,-180.83
101,879.3,0,0,3,4,445.91,-388.42,-180.83
102,879.3,0,0,3,4,445.91,-388.42,-180.83
103,879.3,0,0,3,4,445.91,-388.42,-180.83
104,879.3,0,0,3,4,445.91,-388.42,-180.83
105,879.3,0,0,3,4,445.91,-388.42,-180.83
106,879.3,0,0,3,4,445.91,-388.42,-180.83
107,879.3,0,0,3,4,445.91,-388.42,-180.83
108,879.3,0,0,3,4,445.91,-388.42,-180.83
109,879.3,0,0,3,4,445.91,-388.42,-180.83
110,879.3,0,0,3,4,445.91,-388.42,-180.83
111,879.3,0,0,3,4,445.91,-388.42,-180.83
112,879.3,0,0,3,4,445.91,-388.42,-180.83
113,879.3,0,0,3,4,445.91,-388.42,-180.83
114,879.3,0,0,3,4,445.91,-388.42,-180.83
115,879.3,0,0,3,4,445.91,-388.42,-180.83
116,879.3,0,0,3,4,445.91,-388.42,-180.83
117,879.3,0,0,3,4,445.91,-388.42,-180.83
118,879.3,0,0,3,4,445.91,-388.42,-180.83
119,879.3,0,0,3,4,445.91,-388.42,-180.83
120,879.3,0,0,3,4,445.91,-388.42,-180.83
121,879.3,0,0,3,4,445.91,-388.42,-180.83
122,879.3,0,0,3,4,445.91,-388.42,-180.83
123,879.3,0,0,3,4,445.91,-388.42,-180.83
124,879.3,0,0,3,4,445.91,-388.42,-180.83
125,879.3,0,0,3,4,445.91,-388.42,-180.83
126,879.3,0,0,3,4,445.91,-388.42,-180.83
127,879.3,0,0,3,4,445.91,-388.42,-180.83
128,879.3,0,0,3,4,445.91,-388.42,-180.83
129,879.3,0,0,3,4,445.91,-388.42,-180.83
130,879.3,0,0,3,4,445.91,-388.42,-180.83
131,879.3,0,0,3,4,445.91,-388.42,-180.83
132,879.3,0,0,3,4,445.91,-388.42,-180.83
133,879.3,0,0,3,4,445.91,-388.42,-180.83
134,879.3,0,0,3,4,445.91,-388.42,-180.83
135,879.3,0,0,3,4,445.91,-388.42,-180.83
136,879.3,0,0,3,4,445.91,-388.42,-180.83
137,879.3,0,0,3,4,445.91,-388.42,-180.83
138,879.3,0,0,3,4,445.91,-388.42,-180.83
139,1043.56,0,0,3,4,445.91,-388.42,-180.83
140,1043.56,0,0,3,4,445.91,-388.42,-180.83
141,1043.56,0,0,3,4,445.91,-388.42,-180.83
142,1043.56,0,0,3,4,445.91,-388.42,-180.83
143,1043.56,0,0,3,4,445.91,-388.42,-180.83
144,1043.56,0,0,3,4,445.91,-388.42,-180.83
145,1043.56,0,0,3,4,445.91,-388.42,-180.83
146,1043.56,0,0,3,4,445.91,-388.42,-180.83
147,1043.56,0,0,3,4,445.91,-388.42,-180.83
148,1043.56,0,0,3,4,445.91,-388.42,-180.83
149,1043.56,0,0,3,4,445.91,-388.42,-180.83
150,1043.56,0,0,3,4,445.91,-388.42,-180.83
151,1043.56,0,0,3,4,445.91,-388.42,-180.83
152,1043.56,0,0,3,4,445.91,-388.42,-180.83
153,1043.56,0,0,3,4,445.91,-388.42,-180.83
154,1043.56,0,0,3,4,445.91,-388.42,-180.83
155,1043.56,0,0,3,4,445.91,-388.42,-180.83
156,1043.56,0,0,3,4,445.91,-388.42,-180.83
157,1043.56,0,0,3,4,445.91,-388.42,-180.83
158,1043.56,0,0,3,4,445.91,-388.42,-180.83
159,1043.56,0,0,3,4,445.91,-388.42,-180.83
160,1043.56,0,0,3,4,445.91,-388.42,-180.83
161,1043.56,0,0,3,4,445.91,-388.42,-180.83
162,1043.56,0,0,3,4,445.91,-388.42,-180.83
163,1043.56,0,0,3,4,445.91,-388.42,-180.83
164,1043.56,0,0,3,4,445.91,-388.42,-180.83
165,1043.56,0,0,3,4,445.91,-388.42,-180.83
166,1043.56,0,0,3,4,445.91,-388.42,-180.83
167,1043.56,0,0,3,4,445.91,-388.42,-180.83
168,1043.56,0,0,3,4,445.91,-388.42,-180.83
169,1043.56,0,0,3,4,445.91,-388.42,-180.83
170,1043.56,0,0,3,4,445.91,-388.42,-180.83
171,1043.56,0,0,3,4,445.91,-388.42,-180.83
172,1043.56,0,0,3,4,445.91,-388.42,-180.83
173,1043.56,0,0,3,4,445.91,-388.42,-180.83
174,1043.56,0,0,3,4,445.91,-388.42,-180.83
175,1043.56,0,0,3,4,445.91,-388.42,-180.83
176,1043.56,0,0,3,4,445.91,-388.42,-180.83
177,1043.56,0,0,3,4,445.91,-388.42,-180.83
178,1043.56,0,0,3,4,445.91,-388.42,-180.83
179,1043.56,0,0,3,4,445.91,-388.42,-180.83
180,1043.56,0,0,3,4,445.91,-388.42,-180.83
181,1043.56,0,0,3,4,445.91,-388.42,-180.83
182,1043.56,0,0,3,4,445.91,-388.42,-180.83
183,1043.56,0,0,3,4,445.91,-388.42,-180.83
184,1043.56,0,0,3,4,445.91,-388.42,-180.83
185,1043.56,0,0,3,4,445.91,-388.42,-180.83
186,1043.56,0,0,3,4,445.91,-388.42,-180.83
187,1043.56,0,0,3,4,445.91,-388.42,-180.83
188,1043.56,0,0,3,4,445.91,-388.42,-180.83
189,1043.56,0,0,3,4,445.91,-388.42,-180.83
190,1043.56,0,0,3,4,445.91,-388.42,-180.83
191,1043.56,0,0,3,4,445.91,-388.42,-180.83
192,1043.56,0,0,3,4,445.91,-388.42,-180.83
193,1043.56,0,0,3,4,445.91,-388.42,-180.83
194,1043.56,0,0,3,4,445.91,-388.42,-180.83
195,1043.56,0,0,3,4,445.91,-388.42,-180.83
196,1043.56,0,0,3,4,445.91,-388.42,-180.83
197,1043.56,0,0,3,4,445.91,-388.42,-180.83
198,1043.56,0,0,3,4,445.91,-388.42,-180.83
199,1043.56,0,0,3,4,445.91,-388.42,-180.83
200,1043.56,0,0,3,4,445.91,-388.42,-180.83
201,1043.56,0,0,3,4,445.91,-388.42,-180.83
202,1043.56,0,0,3,4,445.91,-388.42,-180.83
203,1043.56,0,0,3,4,445.91,-388.42,-180.83
204,1043.56,0,0,3,4,445.91,-388.42,-180.83
205,1043.56,0,0,3,4,445.91,-388.42,-180.83
206,1043.56,0,0,3,4,445.91,-388.42,-180.83
207,1043.56,0,0,3,4,445.91,-388.42,-180.83
208,1043.56,0,0,3,4,445.91,-388.42,-180.83
209,1043.56,0,0,3,4,445.91,-388.42,-180.83
210,1043.56,0,0,3,4,445.91,-388.42,-180.83
211,1043.56,0,0,3,4,445.91,-388.42,-180.83
212,1043.56,0,0,3,4,445.91,-388.42,-180.83
213,1043.56,0,0,3,4,445.91,-388.42,-180.83
214,1043.56,0,0,3,4,445.91,-388.42,-180.83
215,1043.56,0,0,3,4,445.91,-388.42,-180.83
216,1043.56,0,0,3,4,445.91,-388.42,-180.83
217,1043.56,0,0,3,4,445.91,-388.42,-180.83
218,1043.56,0,0,3,4,445.91,-388.42,-180.83
219,1043.56,0,0,3,4,445.91,-388.42,-180.83
220,1043.56,0,0,3,4,445.91,-388.42,-180.83
221,1043.56,0,0,3,4,445.91,-388.42,-180.83
222,1043.56,0,0,3,4,445.91,-388.42,-180.83
223,1043.56,0,0,3,4,445.91,-388.42,-180.83
224,1043.56,0,0,3,4,445.91,-388.42,-180.83
225,1043.56,0,0,3,4,445.91,-388.42,-180.83
226,1388.84,0,250,2,3,445.91,-388.42,-180.83
227,1388.84,0,250,2,3,445.91,-388.42,-159.74
228,1388.84,0,250,2,3,445.91,-388.42,-158.19
229,1405,0,250,2,3,445.91,-388.42,-147.99
230,1405,0,250,2,3,445.91,-388.42,-112.51
231,1405,0,250,2,3,445.91,-388.42,-111.11
232,1405,0,250,2,3,445.92,-388.42,-111.75
233,1405,0,250,2,3,445.91,-388.42,-110.55
234,1405,0,250,2,3,445.91,-388.42,-109.19
235,1405,0,250,2,3,445.91,-388.42,-109.78
236,1405,0,250,2,3,445.91,-388.42,-108.63
237,1405,0,250,2,3,445.92,-388.42,-107.23
238,1405,0,250,2,3,445.92,-388.42,-106.07
239,1405,0,250,2,3,445.91,-388.42,-106.67
240,1317.88,0,250,2,3,445.91,-388.42,-105.48
241,1363.09,0,250,2,3,445.91,-388.43,-73.58
242,1451.03,0,250,2,3,445.91,-388.43,-38.22
243,1402.95,500,500,2,2,445.9,-388.43,-5.81
244,1486.25,0,250,2,3,445.9,-388.43,20.58
245,1602.42,0,250,2,3,445.91,-388.43,52.13
246,1664.86,750,750,1,1,445.9,-388.43,86.56
247,1551.1,750,750,1,1,445.9,-388.43,110.4
248,1602.42,500,500,2,2,445.9,-388.43,134.53
249,1597.36,0,250,2,3,445.9,-388.43,158.8
250,1638.15,0,250,2,3,445.9,-388.43,192.76
251,1597.36,750,750,1,1,445.9,-388.43,224.68
252,1655.81,0,250,2,3,445.91,-388.42,248.24
253,1551.1,0,250,2,3,445.91,-388.42,282.68
254,1405.69,0,250,2,3,445.91,-388.43,316.36
255,1709.96,0,250,2,3,445.91,-388.43,340.27
256,1709.96,0,250,2,3,445.91,-370.87,345.8
257,1892.41,0,250,2,3,445.92,-358.71,345.81
258,1892.41,0,250,2,3,445.91,-334.9,345.8
259,1626.33,0,150,2,3,445.91,-310.67,345.81
260,1590.35,0,150,2,3,445.91,-276.91,345.8
261,1709.96,0,150,2,3,445.91,-252.43,345.81
262,1709.96,0,150,2,3,445.91,-217.19,345.81
263,1709.96,0,150,2,3,445.91,-217.79,345.81
264,1709.96,0,150,2,3,445.91,-216.62,345.81
265,1709.96,0,150,2,3,445.91,-215.47,345.81
266,1709.96,0,150,2,3,445.91,-215.86,345.8
267,1709.96,0,150,2,3,445.91,-214.7,345.81
268,1709.96,0,150,2,3,445.91,-213.34,345.8
269,1709.96,0,150,2,3,445.92,-213.43,345.81
270,1709.96,0,150,2,3,445.92,-213.43,345.81
271,1709.96,0,150,2,3,445.92,-213.46,345.81
272,1709.96,0,150,2,3,445.91,-213.77,345.81
273,1709.96,0,150,2,3,445.92,-212.58,345.81
274,1709.96,0,150,2,3,445.91,-211.38,345.81
275,1709.96,0,150,2,3,445.91,-210.22,345.81
276,1709.96,0,150,2,3,445.91,-210.82,345.81
277,1709.96,0,150,2,3,445.92,-209.67,345.81
278,1709.96,0,150,2,3,445.91,-208.26,345.81
279,1709.96,0,150,2,3,445.91,-207.1,345.81
280,1709.96,0,150,2,3,445.92,-207.9,345.81
281,1709.96,0,150,2,3,445.92,-206.74,345.8
282,1709.96,0,150,2,3,445.92,-205.58,345.81
283,1709.96,0,150,2,3,445.92,-204.18,345.81
284,1709.96,0,150,2,3,445.91,-203.02,345.81
285,1709.96,0,150,2,3,445.92,-203.86,345.8
286,1709.96,0,150,2,3,445.91,-202.66,345.81
287,1709.96,0,150,2,3,445.92,-201.51,345.81
288,1709.96,0,150,2,3,445.91,-200.3,345.81
289,1709.96,0,150,2,3,445.92,-199.34,345.81
290,1709.96,0,150,2,3,445.92,-198.14,345.81
291,1709.96,0,150,2,3,445.92,-198.98,345.81
292,1709.96,0,150,2,3,445.92,-197.58,345.81
293,1709.96,0,150,2,3,445.92,-196.26,345.81
294,1709.96,0,150,2,3,445.92,-195.07,345.81
295,1709.96,0,150,2,3,445.91,-195.9,345.81
296,1709.96,0,150,2,3,445.92,-194.71,345.81
297,1709.96,0,150,2,3,445.92,-193.54,345.81
298,1709.96,0,150,2,3,445.92,-192.14,345.81
299,1709.96,0,150,2,3,445.92,-192.99,345.81
300,1709.96,0,150,2,3,445.92,-191.82,345.81
301,1709.96,0,150,2,3,445.92,-190.62,345.81
302,1709.96,0,150,2,3,445.92,-189.07,345.81
303,1709.96,0,150,2,3,445.92,-189.86,345.81
304,1709.96,0,150,2,3,445.92,-188.32,345.81
305,1709.96,0,150,2,3,445.92,-188.43,345.81
306,1709.96,0,150,2,3,445.92,-188.43,345.81
307,1709.96,0,150,2,3,445.92,-188.47,345.81
308,1709.96,0,150,2,3,445.92,-187.02,345.8
309,1709.96,0,150,2,3,445.92,-187.63,345.81
310,1709.96,0,150,2,3,445.91,-186.47,345.81
311,1709.96,0,150,2,3,445.92,-185.07,345.81
312,1709.96,0,150,2,3,445.92,-185.71,345.81
313,1709.96,0,150,2,3,445.92,-184.51,345.8
314,1709.96,0,150,2,3,445.92,-183.35,345.81
315,1709.96,0,150,2,3,445.92,-182.15,345.81
316,1709.96,0,150,2,3,445.92,-182.99,345.81
317,1709.96,0,150,2,3,445.92,-181.59,345.81
318,1709.96,0,150,2,3,445.92,-180.43,345.81
319,1709.96,0,150,2,3,445.92,-179.27,345.81
320,1709.96,0,150,2,3,445.92,-178.07,345.8
321,1709.96,0,150,2,3,445.92,-178.66,345.8
322,1709.96,0,150,2,3,445.92,-177.51,345.8
323,1709.96,0,150,2,3,445.92,-176.11,345.8
324,1709.96,0,150,2,3,445.92,-176.75,345.8
325,1709.96,0,150,2,3,445.92,-175.35,345.8
326,1709.96,0,150,2,3,445.92,-174.19,345.81
327,1709.96,0,150,2,3,445.92,-174.99,345.81
328,1709.96,0,150,2,3,445.91,-173.83,345.81
329,1709.96,0,150,2,3,445.92,-172.43,345.81
330,1709.96,0,150,2,3,445.92,-171.07,345.8
331,1709.96,0,150,2,3,445.92,-171.91,345.81
332,1709.96,0,150,2,3,445.92,-170.5,345.8
333,1709.96,0,150,2,3,445.92,-169.11,345.8
334,1709.96,0,150,2,3,445.92,-169.75,345.81
335,1709.96,0,150,2,3,445.92,-168.35,345.81
336,1709.96,0,150,2,3,445.92,-167.19,345.81
337,1709.96,0,150,2,3,445.92,-167.99,345.8
338,1709.96,0,150,2,3,445.92,-166.63,345.81
339,1709.96,0,150,2,3,445.92,-165.23,345.8
340,1709.96,0,150,2,3,445.91,-164.07,345.81
341,1709.96,0,150,2,3,445.92,-164.67,345.81
342,1709.96,0,150,2,3,445.92,-163.2,345.8
343,1709.96,0,150,2,3,445.92,-163.43,345.8
344,1709.96,0,150,2,3,445.92,-163.43,345.8
345,1709.96,0,150,2,3,445.92,-163.44,345.8
346,1709.96,0,150,2,3,445.92,-163.66,345.8
347,1709.96,0,150,2,3,445.92,-162.19,345.8
348,1709.96,0,150,2,3,445.92,-162.79,345.81
349,1709.96,0,150,2,3,445.92,-161.63,345.8
350,1709.96,0,150,2,3,445.92,-160.27,345.81
351,1709.96,0,150,2,3,445.92,-160.67,345.8
352,1709.96,0,150,2,3,445.92,-159.47,345.81
353,1709.96,0,150,2,3,445.92,-158.11,345.81
354,1709.96,0,150,2,3,445.92,-158.75,345.8
355,1709.96,0,150,2,3,445.92,-157.59,345.81
356,1709.96,0,150,2,3,445.92,-156.44,345.8
357,1709.96,0,150,2,3,445.92,-155.23,345.81
358,1709.96,0,150,2,3,445.92,-155.83,345.81
359,1709.96,0,150,2,3,445.92,-154.47,345.8
360,1709.96,0,150,2,3,445.92,-153.27,345.8
361,1709.96,0,150,2,3,445.92,-153.91,345.81
362,1709.96,0,150,2,3,445.92,-152.55,345.8
363,1709.96,0,150,2,3,445.92,-151.15,345.81
364,1709.96,0,150,2,3,445.92,-151.79,345.8
365,1709.96,0,150,2,3,445.92,-150.59,345.8
366,1709.96,0,150,2,3,445.92,-149.43,345.81
367,1287.83,0,150,2,3,445.92,-148.23,345.81
368,1341.1,0,150,2,3,445.92,-114.39,345.8
369,1360.59,0,150,2,3,445.92,-83.52,345.79
370,1655.81,750,750,1,1,445.92,-59.67,345.8
371,1486.25,0,750,2,3,445.92,-35.03,345.8
372,1648.01,0,750,2,3,445.92,-12.84,345.8
